nm lambda,1,2,3,4,5,6,7,8
399.132,0.057,0.075,0.09,0.118,0.117,0.092,0.167,0.139
399.304,0.057,0.075,0.09,0.119,0.118,0.093,0.168,0.14
399.475,0.057,0.076,0.091,0.119,0.119,0.093,0.169,0.14
399.647,0.057,0.076,0.091,0.12,0.119,0.094,0.17,0.141
399.818,0.057,0.076,0.092,0.12,0.12,0.094,0.171,0.141
399.989,0.058,0.077,0.092,0.121,0.12,0.095,0.171,0.142
400.161,0.058,0.077,0.093,0.121,0.121,0.095,0.172,0.143
400.332,0.058,0.077,0.093,0.122,0.122,0.096,0.173,0.144
400.504,0.058,0.077,0.094,0.122,0.122,0.096,0.174,0.145
400.675,0.059,0.078,0.094,0.123,0.123,0.097,0.175,0.146
400.847,0.059,0.078,0.095,0.124,0.124,0.097,0.176,0.147
401.018,0.059,0.079,0.096,0.125,0.124,0.098,0.177,0.148
401.19,0.059,0.079,0.096,0.125,0.125,0.099,0.179,0.149
401.361,0.06,0.08,0.097,0.126,0.126,0.1,0.18,0.15
401.533,0.06,0.08,0.097,0.127,0.127,0.1,0.181,0.152
401.704,0.06,0.081,0.098,0.128,0.128,0.101,0.182,0.153
401.875,0.061,0.082,0.098,0.129,0.129,0.102,0.183,0.154
402.047,0.061,0.082,0.099,0.129,0.129,0.102,0.184,0.154
402.218,0.061,0.083,0.099,0.13,0.13,0.103,0.186,0.155
402.39,0.062,0.083,0.1,0.131,0.131,0.104,0.187,0.156
402.561,0.063,0.083,0.101,0.131,0.132,0.104,0.188,0.157
402.733,0.063,0.084,0.101,0.132,0.132,0.105,0.189,0.157
402.904,0.063,0.084,0.102,0.132,0.133,0.105,0.19,0.158
403.076,0.064,0.084,0.102,0.133,0.134,0.106,0.19,0.158
403.247,0.064,0.084,0.103,0.134,0.135,0.106,0.191,0.159
403.419,0.064,0.085,0.103,0.134,0.135,0.106,0.192,0.159
403.59,0.065,0.085,0.104,0.134,0.135,0.107,0.193,0.16
403.762,0.065,0.085,0.104,0.135,0.136,0.107,0.193,0.16
403.933,0.065,0.085,0.104,0.135,0.136,0.107,0.194,0.161
404.104,0.065,0.085,0.105,0.136,0.137,0.108,0.195,0.161
404.276,0.065,0.085,0.105,0.136,0.137,0.108,0.195,0.162
404.447,0.066,0.086,0.105,0.136,0.137,0.108,0.196,0.163
404.619,0.066,0.086,0.105,0.137,0.138,0.109,0.197,0.164
404.79,0.066,0.086,0.106,0.137,0.138,0.109,0.198,0.165
404.962,0.066,0.087,0.106,0.137,0.138,0.11,0.198,0.165
405.133,0.066,0.087,0.106,0.138,0.138,0.11,0.199,0.166
405.305,0.066,0.087,0.106,0.138,0.139,0.111,0.199,0.167
405.476,0.066,0.087,0.106,0.138,0.139,0.111,0.199,0.168
405.648,0.067,0.088,0.106,0.139,0.139,0.111,0.2,0.168
405.819,0.067,0.088,0.107,0.139,0.139,0.112,0.2,0.169
405.991,0.067,0.088,0.107,0.139,0.14,0.112,0.201,0.169
406.162,0.067,0.088,0.107,0.139,0.14,0.112,0.201,0.17
406.334,0.067,0.088,0.108,0.139,0.14,0.112,0.202,0.17
406.505,0.067,0.088,0.108,0.14,0.141,0.113,0.202,0.17
406.677,0.067,0.088,0.108,0.14,0.141,0.113,0.202,0.17
406.848,0.067,0.088,0.108,0.14,0.141,0.113,0.202,0.17
407.02,0.067,0.088,0.108,0.14,0.141,0.113,0.202,0.17
407.191,0.067,0.088,0.108,0.139,0.141,0.113,0.202,0.17
