nm lambda,1,2,3,4
482.054,0.173,0.145,0.116,0.036
482.226,0.174,0.145,0.116,0.037
482.398,0.174,0.146,0.117,0.037
482.57,0.175,0.147,0.117,0.037
482.742,0.176,0.147,0.117,0.037
482.914,0.176,0.148,0.117,0.037
483.086,0.177,0.148,0.117,0.037
483.258,0.178,0.149,0.117,0.037
483.429,0.179,0.15,0.118,0.038
483.601,0.179,0.15,0.118,0.038
483.773,0.18,0.15,0.118,0.038
483.945,0.181,0.151,0.118,0.039
484.117,0.182,0.152,0.119,0.039
484.289,0.183,0.153,0.119,0.039
484.461,0.184,0.154,0.119,0.039
484.633,0.185,0.154,0.12,0.039
484.805,0.185,0.155,0.12,0.039
484.977,0.185,0.155,0.12,0.039
485.149,0.186,0.156,0.12,0.04
485.321,0.186,0.156,0.121,0.04
485.493,0.186,0.156,0.121,0.04
