nm lambda,1,2,3,4,5,6,7,8
411.822,0.159,0.187,0.105,0.129,0.13,0.099,0.084,0.062
411.993,0.158,0.186,0.104,0.128,0.129,0.098,0.084,0.061
412.165,0.158,0.185,0.104,0.127,0.129,0.098,0.083,0.061
412.336,0.156,0.185,0.103,0.127,0.128,0.098,0.083,0.061
412.508,0.156,0.184,0.102,0.126,0.127,0.097,0.082,0.06
412.679,0.155,0.182,0.101,0.124,0.126,0.096,0.081,0.059
412.851,0.154,0.181,0.1,0.123,0.125,0.095,0.08,0.059
413.022,0.153,0.18,0.1,0.123,0.124,0.095,0.08,0.058
413.194,0.153,0.179,0.1,0.122,0.124,0.095,0.08,0.058
413.365,0.151,0.178,0.099,0.121,0.123,0.094,0.08,0.058
413.537,0.151,0.177,0.098,0.121,0.122,0.093,0.079,0.057
413.708,0.149,0.175,0.097,0.12,0.121,0.092,0.078,0.057
413.88,0.148,0.174,0.096,0.119,0.12,0.091,0.078,0.056
414.051,0.147,0.172,0.095,0.118,0.119,0.09,0.077,0.056
414.223,0.146,0.17,0.094,0.117,0.119,0.09,0.077,0.055
414.394,0.146,0.169,0.094,0.117,0.118,0.089,0.077,0.055
414.566,0.144,0.167,0.093,0.116,0.117,0.088,0.077,0.055
414.737,0.143,0.166,0.093,0.116,0.116,0.087,0.076,0.055
414.909,0.142,0.164,0.092,0.115,0.114,0.087,0.076,0.055
415.08,0.14,0.163,0.091,0.114,0.113,0.086,0.075,0.054
415.252,0.139,0.161,0.091,0.113,0.112,0.086,0.075,0.053
415.424,0.138,0.16,0.09,0.112,0.111,0.084,0.075,0.053
415.595,0.136,0.159,0.089,0.11,0.11,0.084,0.075,0.052
415.767,0.135,0.157,0.088,0.11,0.11,0.083,0.075,0.052
415.938,0.134,0.157,0.087,0.109,0.109,0.082,0.074,0.051
416.11,0.133,0.155,0.086,0.108,0.108,0.081,0.074,0.051
416.281,0.131,0.154,0.086,0.106,0.107,0.081,0.074,0.051
416.453,0.129,0.152,0.084,0.105,0.106,0.079,0.073,0.049
416.624,0.128,0.151,0.084,0.104,0.105,0.078,0.072,0.049
416.796,0.127,0.148,0.083,0.102,0.104,0.077,0.071,0.048
416.967,0.125,0.147,0.082,0.101,0.103,0.076,0.07,0.047
417.139,0.123,0.145,0.081,0.1,0.102,0.075,0.069,0.047
417.31,0.121,0.144,0.079,0.099,0.101,0.073,0.068,0.046
417.482,0.12,0.143,0.078,0.097,0.1,0.072,0.067,0.044
417.654,0.12,0.142,0.077,0.097,0.099,0.071,0.066,0.044
417.825,0.118,0.14,0.076,0.096,0.098,0.07,0.065,0.043
417.997,0.118,0.138,0.075,0.095,0.097,0.069,0.065,0.042
418.168,0.117,0.137,0.074,0.093,0.096,0.068,0.064,0.042
418.34,0.116,0.135,0.074,0.093,0.095,0.068,0.064,0.041
418.511,0.116,0.134,0.073,0.092,0.094,0.068,0.064,0.042
418.683,0.114,0.131,0.073,0.091,0.093,0.067,0.063,0.042
418.854,0.113,0.13,0.071,0.089,0.092,0.067,0.063,0.041
419.026,0.113,0.129,0.072,0.088,0.092,0.067,0.063,0.041
419.198,0.111,0.127,0.071,0.087,0.091,0.066,0.063,0.04
419.369,0.11,0.126,0.071,0.086,0.09,0.066,0.063,0.041
419.541,0.11,0.124,0.07,0.085,0.088,0.065,0.062,0.04
419.712,0.109,0.122,0.07,0.084,0.088,0.065,0.062,0.04
419.884,0.108,0.121,0.069,0.083,0.085,0.063,0.062,0.04
420.055,0.106,0.119,0.068,0.082,0.083,0.062,0.061,0.039
420.227,0.105,0.116,0.068,0.08,0.081,0.06,0.06,0.039
420.398,0.104,0.114,0.067,0.078,0.08,0.059,0.059,0.038
420.57,0.103,0.111,0.066,0.076,0.079,0.058,0.058,0.037
420.742,0.102,0.109,0.066,0.075,0.078,0.057,0.058,0.037
420.913,0.1,0.106,0.065,0.073,0.076,0.056,0.055,0.036
421.085,0.099,0.105,0.064,0.071,0.075,0.054,0.054,0.035
