nm lambda,1,2,3,4,5,6,7,8
407.534,1.191,1.013,0.969,0.883,0.936,0.566,0.485,0.197
407.706,1.188,1.01,0.968,0.881,0.934,0.564,0.484,0.197
407.877,1.185,1.008,0.965,0.88,0.931,0.563,0.483,0.196
408.048,1.183,1.004,0.962,0.879,0.929,0.561,0.482,0.195
408.22,1.181,1.001,0.96,0.878,0.927,0.56,0.48,0.195
408.391,1.18,0.999,0.958,0.877,0.925,0.558,0.48,0.195
408.563,1.177,0.995,0.955,0.876,0.922,0.557,0.478,0.194
408.734,1.177,0.993,0.953,0.874,0.92,0.556,0.477,0.193
408.906,1.174,0.991,0.951,0.873,0.92,0.555,0.476,0.193
409.077,1.173,0.991,0.95,0.873,0.917,0.554,0.475,0.193
409.249,1.172,0.991,0.948,0.871,0.916,0.553,0.474,0.193
409.42,1.171,0.989,0.947,0.871,0.915,0.552,0.473,0.193
409.592,1.166,0.987,0.946,0.869,0.912,0.551,0.472,0.193
409.763,1.167,0.985,0.945,0.868,0.911,0.551,0.472,0.193
409.935,1.164,0.982,0.942,0.865,0.908,0.549,0.471,0.192
410.106,1.165,0.983,0.941,0.864,0.908,0.548,0.47,0.192
410.278,1.161,0.981,0.938,0.862,0.906,0.547,0.469,0.191
410.449,1.159,0.98,0.936,0.861,0.904,0.546,0.468,0.191
410.621,1.158,0.978,0.933,0.859,0.903,0.545,0.467,0.191
410.792,1.155,0.976,0.931,0.857,0.9,0.544,0.466,0.191
410.964,1.153,0.976,0.93,0.855,0.898,0.542,0.465,0.19
411.135,1.152,0.975,0.93,0.853,0.896,0.542,0.464,0.19
411.307,1.15,0.973,0.929,0.852,0.895,0.541,0.464,0.189
411.479,1.145,0.97,0.927,0.849,0.892,0.539,0.463,0.189
411.65,1.139,0.966,0.924,0.847,0.889,0.537,0.461,0.188
411.822,1.139,0.966,0.924,0.847,0.888,0.536,0.461,0.188
411.993,1.139,0.964,0.923,0.846,0.885,0.535,0.46,0.187
412.165,1.138,0.962,0.921,0.845,0.884,0.535,0.459,0.186
412.336,1.138,0.961,0.919,0.844,0.883,0.534,0.458,0.186
412.508,1.137,0.96,0.917,0.843,0.883,0.533,0.457,0.186
412.679,1.135,0.958,0.915,0.841,0.882,0.531,0.456,0.185
412.851,1.134,0.958,0.914,0.84,0.881,0.53,0.455,0.185
413.022,1.133,0.958,0.914,0.84,0.881,0.53,0.454,0.186
