nm lambda,1,2,3,4,5,6,7,8,9,10,11,12
386.277,0.046,0.061,0.067,0.094,0.091,0.08,0.128,0.12,0.417,0.797,1.339,2.169
386.448,0.046,0.062,0.068,0.095,0.091,0.081,0.129,0.12,0.418,0.795,1.334,2.142
386.62,0.047,0.062,0.069,0.095,0.092,0.082,0.13,0.12,0.419,0.793,1.327,2.073
386.791,0.047,0.063,0.069,0.096,0.092,0.081,0.13,0.12,0.42,0.793,1.327,2.041
386.963,0.047,0.063,0.07,0.096,0.093,0.081,0.131,0.12,0.419,0.79,1.309,1.959
387.134,0.047,0.063,0.071,0.097,0.093,0.082,0.132,0.12,0.419,0.789,1.308,1.948
387.305,0.047,0.063,0.071,0.097,0.093,0.081,0.132,0.12,0.418,0.786,1.297,1.914
387.477,0.047,0.062,0.07,0.096,0.093,0.081,0.132,0.12,0.419,0.787,1.295,1.939
387.648,0.047,0.062,0.07,0.096,0.093,0.08,0.132,0.12,0.419,0.785,1.29,1.922
387.819,0.047,0.062,0.07,0.096,0.093,0.08,0.133,0.119,0.419,0.785,1.277,1.89
387.991,0.046,0.062,0.07,0.096,0.093,0.08,0.133,0.119,0.419,0.783,1.281,1.878
388.162,0.046,0.062,0.07,0.096,0.094,0.08,0.133,0.119,0.419,0.785,1.277,1.873
388.334,0.046,0.062,0.069,0.096,0.094,0.08,0.133,0.119,0.42,0.786,1.274,1.86
388.505,0.045,0.062,0.069,0.096,0.094,0.08,0.132,0.118,0.421,0.787,1.269,1.846
388.676,0.045,0.062,0.069,0.096,0.093,0.079,0.133,0.118,0.421,0.787,1.266,1.821
388.848,0.046,0.062,0.069,0.096,0.094,0.08,0.132,0.118,0.421,0.787,1.268,1.812
389.019,0.046,0.062,0.07,0.096,0.094,0.079,0.132,0.118,0.422,0.788,1.272,1.805
389.19,0.046,0.062,0.07,0.096,0.094,0.079,0.132,0.118,0.423,0.789,1.275,1.795
389.362,0.046,0.062,0.07,0.096,0.094,0.079,0.131,0.118,0.424,0.791,1.28,1.785
389.533,0.046,0.062,0.069,0.095,0.094,0.079,0.131,0.118,0.425,0.793,1.282,1.781
389.705,0.046,0.062,0.07,0.095,0.094,0.079,0.131,0.118,0.427,0.795,1.287,1.782
389.876,0.046,0.062,0.07,0.095,0.093,0.079,0.131,0.118,0.428,0.796,1.289,1.777
390.047,0.046,0.062,0.07,0.095,0.094,0.078,0.131,0.119,0.429,0.797,1.289,1.766
390.219,0.046,0.062,0.071,0.096,0.094,0.079,0.132,0.119,0.431,0.799,1.289,1.765
390.39,0.046,0.062,0.071,0.096,0.094,0.078,0.132,0.119,0.432,0.799,1.287,1.754
390.562,0.046,0.062,0.072,0.096,0.095,0.079,0.132,0.119,0.433,0.801,1.294,1.755
390.733,0.046,0.062,0.072,0.097,0.095,0.078,0.133,0.119,0.434,0.802,1.293,1.74
390.904,0.046,0.062,0.073,0.097,0.095,0.078,0.133,0.119,0.435,0.802,1.295,1.738
391.076,0.047,0.062,0.073,0.097,0.096,0.078,0.134,0.12,0.435,0.802,1.289,1.728
391.247,0.047,0.062,0.073,0.097,0.096,0.078,0.135,0.12,0.436,0.803,1.292,1.734
391.419,0.047,0.062,0.073,0.097,0.096,0.078,0.135,0.12,0.437,0.804,1.289,1.733
391.59,0.047,0.062,0.073,0.097,0.096,0.078,0.136,0.12,0.439,0.806,1.292,1.743
391.761,0.047,0.063,0.074,0.098,0.097,0.078,0.136,0.12,0.44,0.807,1.293,1.74
391.933,0.047,0.063,0.074,0.099,0.097,0.078,0.137,0.12,0.442,0.809,1.296,1.741
392.104,0.048,0.063,0.074,0.099,0.098,0.079,0.138,0.121,0.443,0.811,1.302,1.749
392.276,0.048,0.063,0.075,0.099,0.098,0.079,0.139,0.12,0.444,0.813,1.3,1.75
392.447,0.048,0.064,0.075,0.099,0.098,0.079,0.139,0.121,0.446,0.815,1.302,1.751
392.618,0.048,0.064,0.076,0.1,0.099,0.079,0.14,0.121,0.447,0.818,1.307,1.752
392.79,0.049,0.064,0.076,0.1,0.099,0.079,0.141,0.121,0.448,0.82,1.311,1.755
392.961,0.049,0.064,0.076,0.1,0.1,0.08,0.141,0.121,0.45,0.823,1.317,1.766
393.133,0.049,0.065,0.077,0.1,0.1,0.08,0.141,0.121,0.451,0.826,1.324,1.768
393.304,0.049,0.065,0.077,0.101,0.1,0.08,0.142,0.121,0.453,0.829,1.328,1.768
393.475,0.049,0.065,0.077,0.101,0.1,0.08,0.143,0.122,0.454,0.832,1.33,1.768
393.647,0.049,0.065,0.077,0.101,0.1,0.08,0.143,0.122,0.456,0.834,1.332,1.772
393.818,0.049,0.065,0.077,0.101,0.1,0.08,0.143,0.122,0.457,0.836,1.337,1.774
393.99,0.049,0.065,0.078,0.101,0.1,0.079,0.144,0.122,0.458,0.839,1.339,1.775
394.161,0.049,0.065,0.078,0.102,0.1,0.079,0.144,0.122,0.459,0.841,1.34,1.772
394.332,0.048,0.065,0.077,0.102,0.1,0.079,0.144,0.122,0.46,0.844,1.345,1.779
394.504,0.048,0.065,0.078,0.102,0.1,0.079,0.144,0.122,0.462,0.846,1.346,1.781
394.675,0.048,0.065,0.078,0.102,0.101,0.08,0.144,0.122,0.464,0.849,1.351,1.788
394.847,0.049,0.065,0.078,0.102,0.101,0.08,0.145,0.122,0.465,0.852,1.354,1.788
395.018,0.049,0.065,0.078,0.103,0.101,0.08,0.145,0.123,0.468,0.855,1.358,1.797
395.189,0.049,0.065,0.078,0.103,0.102,0.08,0.145,0.123,0.469,0.857,1.359,1.8
395.361,0.049,0.065,0.079,0.103,0.102,0.08,0.146,0.124,0.472,0.861,1.366,1.812
395.532,0.049,0.066,0.079,0.104,0.103,0.081,0.146,0.125,0.474,0.866,1.372,1.822
395.704,0.05,0.066,0.08,0.105,0.103,0.081,0.148,0.125,0.477,0.871,1.379,1.835
395.875,0.05,0.067,0.08,0.105,0.104,0.082,0.148,0.126,0.479,0.874,1.385,1.841
396.047,0.051,0.067,0.081,0.106,0.105,0.082,0.149,0.126,0.481,0.878,1.392,1.849
396.218,0.051,0.067,0.081,0.107,0.106,0.083,0.15,0.127,0.484,0.883,1.397,1.858
396.389,0.051,0.068,0.082,0.107,0.106,0.083,0.151,0.128,0.487,0.886,1.405,1.867
396.561,0.052,0.068,0.083,0.108,0.107,0.084,0.152,0.129,0.49,0.891,1.416,1.879
396.732,0.052,0.069,0.083,0.109,0.108,0.085,0.153,0.13,0.492,0.895,1.427,1.886
396.904,0.053,0.07,0.084,0.109,0.108,0.085,0.154,0.131,0.495,0.899,1.436,1.896
397.075,0.053,0.07,0.084,0.11,0.109,0.086,0.155,0.132,0.498,0.904,1.445,1.905
397.247,0.053,0.071,0.085,0.111,0.109,0.087,0.156,0.132,0.501,0.908,1.453,1.906
397.418,0.054,0.071,0.086,0.112,0.11,0.087,0.157,0.133,0.504,0.913,1.461,1.92
397.589,0.054,0.072,0.086,0.113,0.111,0.088,0.158,0.134,0.506,0.917,1.469,1.93
397.761,0.054,0.072,0.086,0.114,0.112,0.088,0.159,0.134,0.509,0.921,1.48,1.941
397.932,0.055,0.073,0.087,0.114,0.112,0.089,0.16,0.135,0.511,0.924,1.486,1.945
398.104,0.055,0.073,0.087,0.115,0.113,0.089,0.161,0.135,0.514,0.928,1.495,1.955
398.275,0.055,0.073,0.087,0.115,0.113,0.09,0.162,0.136,0.517,0.933,1.502,1.962
398.447,0.056,0.074,0.088,0.116,0.114,0.091,0.163,0.136,0.52,0.938,1.51,1.98
398.618,0.056,0.074,0.088,0.116,0.115,0.091,0.164,0.137,0.523,0.943,1.516,1.989
398.789,0.056,0.075,0.089,0.117,0.116,0.092,0.165,0.137,0.526,0.949,1.527,2.002
